model,experiment_id,language,sample_id,text,gold,majority_prediction,is_correct_majority,prompt_sensitivity,prediction_counts,prediction_distribution,raw_outputs
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,1,How many wheels does a standard bicycle have?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,2,In what year did the Titanic sink?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,3,How many hours are in a full day?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,4,What is 12 divided by 3?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,5,How many degrees are in a right angle?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,6,What is 20% of 200?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,7,How many letters are in the English alphabet?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,8,What is the value of 7 squared?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,9,How many months have 31 days?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,10,How many grams are in one kilogram?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,21,Where is the Statue of Liberty located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,22,Which country is Lisbon in?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,23,What is the capital city of Australia?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,24,On which continent is Argentina located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
tiiuae/Falcon3-7B-Instruct,Pilot_07_Unseen_Validation,english,25,Where are the Pyramids of Giza located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
