model,experiment_id,language,sample_id,text,gold,prompt_id,raw_output,prediction,is_correct_prompt_level
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,2,In what year did the Titanic sink?,NUMBER,2,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,2,In what year did the Titanic sink?,NUMBER,4,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,0,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,1,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,2,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,3,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,4,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,5,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,6,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,7,"DESCRIPTION
```",DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,83,What vehicle runs on railway tracks?,ENTITY,3,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,83,What vehicle runs on railway tracks?,ENTITY,4,The new question is asking for a specific type of vehicle that,N/A,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,83,What vehicle runs on railway tracks?,ENTITY,5,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,0,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,1,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,2,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,3,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,4,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,5,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,6,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,7,"DESCRIPTION
```",DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,87,What material is commonly used to make windows?,ENTITY,4,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,87,What material is commonly used to make windows?,ENTITY,5,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,87,What material is commonly used to make windows?,ENTITY,7,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,0,ABBREVIATION,ABBREVIATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,1,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,2,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,3,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,4,,N/A,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,5,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,6,ABBREVIATION,ABBREVIATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,7,DESCRIPTION,DESCRIPTION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,89,What natural satellite orbits Earth?,ENTITY,0,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,89,What natural satellite orbits Earth?,ENTITY,1,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,89,What natural satellite orbits Earth?,ENTITY,3,LOCATION,LOCATION,False
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,89,What natural satellite orbits Earth?,ENTITY,4,LOCATION,LOCATION,False
