id,label,language,question
1,NUMBER,English,How many continents are there on Earth?
2,NUMBER,English,In what year did World War II end?
3,NUMBER,English,How many sides does a pentagon have?
4,NUMBER,English,What is 15 multiplied by 4?
5,NUMBER,English,How many minutes are in one hour?
6,NUMBER,English,What percentage is 25 out of 100?
7,NUMBER,English,What is the freezing point of water in Celsius?
8,NUMBER,English,How many days are in a leap year?
9,NUMBER,English,What is the square root of 81?
10,NUMBER,English,How many centimeters are in one meter?
11,NUMBER,Arabic,كم عدد القارات على سطح الأرض؟
12,NUMBER,Arabic,في أي سنة انتهت الحرب العالمية الثانية؟
13,NUMBER,Arabic,كم ضلعًا للشكل الخماسي؟
14,NUMBER,Arabic,ما ناتج ضرب 15 في 4؟
15,NUMBER,Arabic,كم دقيقة في الساعة الواحدة؟
16,NUMBER,Arabic,ما النسبة المئوية للعدد 25 من 100؟
17,NUMBER,Arabic,ما درجة تجمد الماء بالسيلسيوس؟
18,NUMBER,Arabic,كم يومًا في السنة الكبيسة؟
19,NUMBER,Arabic,ما الجذر التربيعي للعدد 81؟
20,NUMBER,Arabic,كم سنتيمترًا في المتر الواحد؟
21,LOCATION,English,Where is the Eiffel Tower located?
22,LOCATION,English,Which country is Cairo in?
23,LOCATION,English,What city is the capital of Japan?
24,LOCATION,English,On which continent is Kenya located?
25,LOCATION,English,Where is the Nile River located?
26,LOCATION,English,Which desert covers much of North Africa?
27,LOCATION,English,Which country contains Machu Picchu?
28,LOCATION,English,In which city is the Colosseum located?
29,LOCATION,English,Which mountain range separates Europe and Asia?
30,LOCATION,English,Where is the Great Barrier Reef located?
31,LOCATION,Arabic,أين يقع برج إيفل؟
32,LOCATION,Arabic,في أي دولة تقع القاهرة؟
33,LOCATION,Arabic,ما المدينة التي تعد عاصمة اليابان؟
34,LOCATION,Arabic,في أي قارة تقع كينيا؟
35,LOCATION,Arabic,أين يقع نهر النيل؟
36,LOCATION,Arabic,ما الصحراء التي تغطي جزءًا كبيرًا من شمال إفريقيا؟
37,LOCATION,Arabic,في أي دولة تقع ماتشو بيتشو؟
38,LOCATION,Arabic,في أي مدينة يقع الكولوسيوم؟
39,LOCATION,Arabic,ما السلسلة الجبلية التي تفصل بين أوروبا وآسيا؟
40,LOCATION,Arabic,أين يقع الحاجز المرجاني العظيم؟
41,PERSON,English,Who painted the Mona Lisa?
42,PERSON,English,Who wrote Hamlet?
43,PERSON,English,Who invented the telephone?
44,PERSON,English,Who was the first person to walk on the Moon?
45,PERSON,English,Who founded Microsoft with Paul Allen?
