model,model_type,sample_id,id,language,label,gold_label,question,majority_prediction,predicted_label,is_correct,vote_counts,sensitivity
gemini-2.5-flash,closed,1,1,English,NUMBER,NUMBER,How many wheels does a standard bicycle have?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,2,2,English,NUMBER,NUMBER,In what year did the Titanic sink?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,3,3,English,NUMBER,NUMBER,How many hours are in a full day?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,4,4,English,NUMBER,NUMBER,What is 12 divided by 3?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,5,5,English,NUMBER,NUMBER,How many degrees are in a right angle?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,6,6,English,NUMBER,NUMBER,What is 20% of 200?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,7,7,English,NUMBER,NUMBER,How many letters are in the English alphabet?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,8,8,English,NUMBER,NUMBER,What is the value of 7 squared?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,9,9,English,NUMBER,NUMBER,How many months have 31 days?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,10,10,English,NUMBER,NUMBER,How many grams are in one kilogram?,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,11,11,Arabic,NUMBER,NUMBER,كم عجلة في الدراجة العادية؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,12,12,Arabic,NUMBER,NUMBER,في أي سنة غرقت سفينة تيتانيك؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,13,13,Arabic,NUMBER,NUMBER,كم ساعة في اليوم الكامل؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,14,14,Arabic,NUMBER,NUMBER,ما ناتج قسمة 12 على 3؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,15,15,Arabic,NUMBER,NUMBER,كم درجة في الزاوية القائمة؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,16,16,Arabic,NUMBER,NUMBER,ما قيمة 20% من 200؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,17,17,Arabic,NUMBER,NUMBER,كم حرفًا في الأبجدية العربية؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,18,18,Arabic,NUMBER,NUMBER,ما قيمة 7 تربيع؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,19,19,Arabic,NUMBER,NUMBER,كم شهرًا يحتوي على 31 يومًا؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,20,20,Arabic,NUMBER,NUMBER,كم غرامًا في الكيلوغرام الواحد؟,NUMBER,NUMBER,1,"{""NUMBER"": 8}",0.000000
gemini-2.5-flash,closed,21,21,English,LOCATION,LOCATION,Where is the Statue of Liberty located?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,22,22,English,LOCATION,LOCATION,Which country is Lisbon in?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,23,23,English,LOCATION,LOCATION,What is the capital city of Australia?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,24,24,English,LOCATION,LOCATION,On which continent is Argentina located?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,25,25,English,LOCATION,LOCATION,Where are the Pyramids of Giza located?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,26,26,English,LOCATION,LOCATION,Which ocean is west of the United States?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,27,27,English,LOCATION,LOCATION,Which city is famous for Big Ben?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,28,28,English,LOCATION,LOCATION,In which country is the Taj Mahal located?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,29,29,English,LOCATION,LOCATION,Where is Lake Victoria located?,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,30,30,English,LOCATION,LOCATION,Which region is known as the Middle East?,LOCATION,LOCATION,1,"{""DESCRIPTION"": 1, ""LOCATION"": 7}",0.193622
gemini-2.5-flash,closed,31,31,Arabic,LOCATION,LOCATION,أين يقع تمثال الحرية؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,32,32,Arabic,LOCATION,LOCATION,في أي دولة تقع لشبونة؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,33,33,Arabic,LOCATION,LOCATION,ما عاصمة أستراليا؟,LOCATION,LOCATION,1,"{""ENTITY"": 1, ""LOCATION"": 7}",0.193622
gemini-2.5-flash,closed,34,34,Arabic,LOCATION,LOCATION,في أي قارة تقع الأرجنتين؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,35,35,Arabic,LOCATION,LOCATION,أين تقع أهرامات الجيزة؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,36,36,Arabic,LOCATION,LOCATION,ما المحيط الموجود غرب الولايات المتحدة؟,LOCATION,LOCATION,1,"{""ENTITY"": 2, ""LOCATION"": 6}",0.288983
gemini-2.5-flash,closed,37,37,Arabic,LOCATION,LOCATION,ما المدينة المشهورة بساعة بيغ بن؟,LOCATION,LOCATION,1,"{""ENTITY"": 1, ""LOCATION"": 7}",0.193622
gemini-2.5-flash,closed,38,38,Arabic,LOCATION,LOCATION,في أي دولة يقع تاج محل؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,39,39,Arabic,LOCATION,LOCATION,أين تقع بحيرة فيكتوريا؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,40,40,Arabic,LOCATION,LOCATION,ما المنطقة المعروفة باسم الشرق الأوسط؟,LOCATION,LOCATION,1,"{""LOCATION"": 8}",0.000000
gemini-2.5-flash,closed,41,41,English,PERSON,PERSON,Who wrote Pride and Prejudice?,PERSON,PERSON,1,"{""PERSON"": 8}",0.000000
gemini-2.5-flash,closed,42,42,English,PERSON,PERSON,Who created the character Sherlock Holmes?,PERSON,PERSON,1,"{""PERSON"": 8}",0.000000
gemini-2.5-flash,closed,43,43,English,PERSON,PERSON,Who discovered penicillin?,PERSON,PERSON,1,"{""PERSON"": 8}",0.000000
gemini-2.5-flash,closed,44,44,English,PERSON,PERSON,Who painted The Starry Night?,PERSON,PERSON,1,"{""PERSON"": 8}",0.000000
