model,experiment_id,language,sample_id,text,gold,majority_prediction,is_correct_majority,prompt_sensitivity,prediction_counts,prediction_distribution,raw_outputs
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,1,How many wheels does a standard bicycle have?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,2,In what year did the Titanic sink?,NUMBER,NUMBER,True,0.28898309867585964,"{""NUMBER"": 6, ""LOCATION"": 2}","{""NUMBER"": 0.75, ""LOCATION"": 0.25}","[""NUMBER"", ""NUMBER"", ""LOCATION"", ""NUMBER"", ""LOCATION"", ""NUMBER"", ""NUMBER"", ""NUMBER\n```""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,3,How many hours are in a full day?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,4,What is 12 divided by 3?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,5,How many degrees are in a right angle?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,6,What is 20% of 200?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,7,How many letters are in the English alphabet?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,8,What is the value of 7 squared?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,9,How many months have 31 days?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,10,How many grams are in one kilogram?,NUMBER,NUMBER,True,-0.0,"{""NUMBER"": 8}","{""NUMBER"": 1.0}","[""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER"", ""NUMBER""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,21,Where is the Statue of Liberty located?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,22,Which country is Lisbon in?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION\n```""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,23,What is the capital city of Australia?,LOCATION,LOCATION,True,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION\n```""]"
