model,model_type,sample_id,id,language,label,gold_label,question,prompt_id,prompt_variant,raw_output,prediction,predicted_label,is_correct
gemini-2.5-flash,closed,30,30,English,LOCATION,LOCATION,Which region is known as the Middle East?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,33,33,Arabic,LOCATION,LOCATION,ما عاصمة أستراليا؟,5,5,ENTITY,ENTITY,ENTITY,0
gemini-2.5-flash,closed,36,36,Arabic,LOCATION,LOCATION,ما المحيط الموجود غرب الولايات المتحدة؟,2,2,ENTITY,ENTITY,ENTITY,0
gemini-2.5-flash,closed,36,36,Arabic,LOCATION,LOCATION,ما المحيط الموجود غرب الولايات المتحدة؟,5,5,ENTITY,ENTITY,ENTITY,0
gemini-2.5-flash,closed,37,37,Arabic,LOCATION,LOCATION,ما المدينة المشهورة بساعة بيغ بن؟,5,5,ENTITY,ENTITY,ENTITY,0
gemini-2.5-flash,closed,59,59,Arabic,PERSON,PERSON,من كانت كليوباترا؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,92,92,Arabic,ENTITY,ENTITY,ما الأداة المستخدمة لقص الورق؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,100,100,Arabic,ENTITY,ENTITY,ما الرياضة التي تستخدم مضربًا وريشة؟,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,100,100,Arabic,ENTITY,ENTITY,ما الرياضة التي تستخدم مضربًا وريشة؟,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,101,101,English,ABBREVIATION,ABBREVIATION,What does ATM stand for?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,103,103,English,ABBREVIATION,ABBREVIATION,What does HTTP stand for?,3,3,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,103,103,English,ABBREVIATION,ABBREVIATION,What does HTTP stand for?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,103,103,English,ABBREVIATION,ABBREVIATION,What does HTTP stand for?,7,7,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,103,103,English,ABBREVIATION,ABBREVIATION,What does HTTP stand for?,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,104,104,English,ABBREVIATION,ABBREVIATION,What does SQL stand for?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,104,104,English,ABBREVIATION,ABBREVIATION,What does SQL stand for?,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,108,108,English,ABBREVIATION,ABBREVIATION,What does SMS stand for?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,108,108,English,ABBREVIATION,ABBREVIATION,What does SMS stand for?,8,8,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
gemini-2.5-flash,closed,109,109,English,ABBREVIATION,ABBREVIATION,What does CEO stand for?,5,5,DESCRIPTION,DESCRIPTION,DESCRIPTION,0
