model_display,model_type,language,label,n_samples,correct,accuracy
Falcon3-7B-Instruct,open,Arabic,ABBREVIATION,10,10,1.0
Falcon3-7B-Instruct,open,Arabic,DESCRIPTION,10,10,1.0
Falcon3-7B-Instruct,open,Arabic,ENTITY,10,10,1.0
Falcon3-7B-Instruct,open,Arabic,LOCATION,10,10,1.0
Falcon3-7B-Instruct,open,Arabic,NUMBER,10,10,1.0
Falcon3-7B-Instruct,open,Arabic,PERSON,10,9,0.9
Falcon3-7B-Instruct,open,English,ABBREVIATION,10,10,1.0
Falcon3-7B-Instruct,open,English,DESCRIPTION,10,10,1.0
Falcon3-7B-Instruct,open,English,ENTITY,10,10,1.0
Falcon3-7B-Instruct,open,English,LOCATION,10,10,1.0
Falcon3-7B-Instruct,open,English,NUMBER,10,10,1.0
Falcon3-7B-Instruct,open,English,PERSON,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,ABBREVIATION,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,DESCRIPTION,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,ENTITY,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,LOCATION,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,NUMBER,10,10,1.0
ALLaM-7B-Instruct-preview,open,Arabic,PERSON,10,10,1.0
ALLaM-7B-Instruct-preview,open,English,ABBREVIATION,10,10,1.0
ALLaM-7B-Instruct-preview,open,English,DESCRIPTION,10,10,1.0
ALLaM-7B-Instruct-preview,open,English,ENTITY,10,9,0.9
ALLaM-7B-Instruct-preview,open,English,LOCATION,10,10,1.0
ALLaM-7B-Instruct-preview,open,English,NUMBER,10,10,1.0
ALLaM-7B-Instruct-preview,open,English,PERSON,10,10,1.0
AceGPT-v2-8B-Chat,open,Arabic,ABBREVIATION,10,10,1.0
AceGPT-v2-8B-Chat,open,Arabic,DESCRIPTION,10,10,1.0
AceGPT-v2-8B-Chat,open,Arabic,ENTITY,10,3,0.3
AceGPT-v2-8B-Chat,open,Arabic,LOCATION,10,10,1.0
AceGPT-v2-8B-Chat,open,Arabic,NUMBER,10,10,1.0
AceGPT-v2-8B-Chat,open,Arabic,PERSON,10,10,1.0
AceGPT-v2-8B-Chat,open,English,ABBREVIATION,10,10,1.0
AceGPT-v2-8B-Chat,open,English,DESCRIPTION,10,10,1.0
AceGPT-v2-8B-Chat,open,English,ENTITY,10,5,0.5
AceGPT-v2-8B-Chat,open,English,LOCATION,10,10,1.0
AceGPT-v2-8B-Chat,open,English,NUMBER,10,10,1.0
AceGPT-v2-8B-Chat,open,English,PERSON,10,10,1.0
Gemini-2.5-Flash,closed,English,NUMBER,10,10,1.0
Gemini-2.5-Flash,closed,English,LOCATION,10,10,1.0
Gemini-2.5-Flash,closed,English,PERSON,10,10,1.0
Gemini-2.5-Flash,closed,English,DESCRIPTION,10,10,1.0
Gemini-2.5-Flash,closed,English,ENTITY,10,10,1.0
Gemini-2.5-Flash,closed,English,ABBREVIATION,10,9,0.9
Gemini-2.5-Flash,closed,Arabic,NUMBER,10,10,1.0
Gemini-2.5-Flash,closed,Arabic,LOCATION,10,10,1.0
Gemini-2.5-Flash,closed,Arabic,PERSON,10,10,1.0
Gemini-2.5-Flash,closed,Arabic,DESCRIPTION,10,10,1.0
Gemini-2.5-Flash,closed,Arabic,ENTITY,10,10,1.0
Gemini-2.5-Flash,closed,Arabic,ABBREVIATION,10,0,0.0
