model,experiment_id,language,sample_id,text,gold,majority_prediction,is_correct_majority,prompt_sensitivity,prediction_counts,prediction_distribution,raw_outputs
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,81,What fruit is commonly used to make orange juice?,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION\n```""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,85,What food is made from milk and often used on pizza?,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION\n```""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,88,What app is commonly used for video meetings?,ENTITY,DESCRIPTION,False,0.46264009245523846,"{""ABBREVIATION"": 2, ""DESCRIPTION"": 5, ""N/A"": 1}","{""ABBREVIATION"": 0.25, ""DESCRIPTION"": 0.625, ""N/A"": 0.125}","[""ABBREVIATION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", """", ""DESCRIPTION"", ""ABBREVIATION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,89,What natural satellite orbits Earth?,ENTITY,LOCATION,False,0.37803489545286517,"{""LOCATION"": 6, ""ENTITY"": 1, ""NUMBER"": 1}","{""LOCATION"": 0.75, ""ENTITY"": 0.125, ""NUMBER"": 0.125}","[""LOCATION"", ""LOCATION"", ""The correct label for this question is \""ENTITY.\"" The question"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""NUMBER"", ""LOCATION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,english,90,What sport uses a racket and a shuttlecock?,ENTITY,DESCRIPTION,False,0.37803489545286517,"{""PERSON"": 1, ""DESCRIPTION"": 6, ""LOCATION"": 1}","{""PERSON"": 0.125, ""DESCRIPTION"": 0.75, ""LOCATION"": 0.125}","[""PERSON"", ""DESCRIPTION"", ""DESCRIPTION"", ""LOCATION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,91,ما الفاكهة المستخدمة عادة لصنع عصير البرتقال؟,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,93,ما المركبة التي تسير على السكك الحديدية؟,ENTITY,LOCATION,False,0.6233625774390388,"{""LOCATION"": 4, ""ENTITY"": 2, ""PERSON"": 1, ""DESCRIPTION"": 1}","{""LOCATION"": 0.5, ""ENTITY"": 0.25, ""PERSON"": 0.125, ""DESCRIPTION"": 0.125}","[""LOCATION"", ""The label for this question is \""ENTITY\""."", ""LOCATION"", ""LOCATION"", ""The answer expected is a specific thing, not a person,"", ""The label for this question is \""ENTITY\""."", ""DESCRIPTION"", ""LOCATION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,95,ما الطعام المصنوع من الحليب ويستخدم غالبًا على البيتزا؟,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,97,ما المادة المستخدمة عادة لصنع النوافذ؟,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,98,ما التطبيق المستخدم عادة لاجتماعات الفيديو؟,ENTITY,DESCRIPTION,False,0.19362156132406652,"{""DESCRIPTION"": 7, ""N/A"": 1}","{""DESCRIPTION"": 0.875, ""N/A"": 0.125}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", """", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,99,ما القمر الطبيعي الذي يدور حول الأرض؟,ENTITY,LOCATION,False,-0.0,"{""LOCATION"": 8}","{""LOCATION"": 1.0}","[""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION"", ""LOCATION""]"
FreedomIntelligence/AceGPT-v2-8B-Chat,CrossModel_AceGPT_8B_Pilot07,arabic,100,ما الرياضة التي تستخدم مضربًا وريشة؟,ENTITY,DESCRIPTION,False,-0.0,"{""DESCRIPTION"": 8}","{""DESCRIPTION"": 1.0}","[""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION"", ""DESCRIPTION""]"
